State,District,Mandal,OfficeType,Pincode,Latitude,Longitude
AndhraPradesh,Konaseema,Chinakothalanka,Bo,533216.0,,
AndhraPradesh,Konaseema,Challapalli,Bo,533213.0,,
AndhraPradesh,Konaseema,Kesavadasupalem,Bo,533252.0,,
AndhraPradesh,Konaseema,Kattunga,Bo,533235.0,,
AndhraPradesh,Konaseema,Peravaram,Bo,533235.0,,
AndhraPradesh,Konaseema,Vutchili,Bo,533235.0,,
AndhraPradesh,Konaseema,L.Gannavaram,Bo,533240.0,,
AndhraPradesh,Konaseema,NorthGopalapuram,Bo,533274.0,,
AndhraPradesh,Konaseema,Vudimudi,Bo,533274.0,,
AndhraPradesh,EastGodavari,Ramarajulanka,Bo,533253.0,,
AndhraPradesh,Konaseema,Appanapalli,Bo,533247.0,,
AndhraPradesh,Konaseema,Lutukurru,Bo,533247.0,,
AndhraPradesh,Konaseema,Aravapalem,Bo,533248.0,,
AndhraPradesh,Konaseema,Vedureswaram,Bo,533238.0,,
AndhraPradesh,Konaseema,Ithakota,Bo,533238.0,,
AndhraPradesh,Konaseema,Narkedmilli,Bo,533236.0,,
AndhraPradesh,Konaseema,Gondi,Bo,533251.0,,
AndhraPradesh,Konaseema,Chintalapalli,Bo,533244.0,,
AndhraPradesh,Konaseema,Mattaparru,Bo,533244.0,,
AndhraPradesh,Konaseema,Jaggannapeta,Bo,533249.0,,
AndhraPradesh,Konaseema,Mogalikuduru,Bo,533249.0,,
AndhraPradesh,Konaseema,Nagullanka,Bo,533249.0,,
AndhraPradesh,Konaseema,Vadrevupalli,Bo,533249.0,,
AndhraPradesh,Konaseema,Billakurru,Bo,533228.0,,
AndhraPradesh,Konaseema,Madupalli,Bo,533228.0,,
AndhraPradesh,Konaseema,Vadapalli,Bo,533237.0,,
AndhraPradesh,Anakapalli,Varada,Bo,531022.0,17.936125,83.039989
Telangana,Siddipet,VenkatapurBo,Bo,502114.0,18.07907,78.773744
AndhraPradesh,Visakhapatanam,Bosubeda,Bo,531149.0,18.2943239,82.9187961
AndhraPradesh,Visakhapatanam,Chinalabudu,Bo,531149.0,18.3336353,82.915624
AndhraPradesh,Visakhapatanam,Kothaballuguda,Bo,531149.0,18.271559,82.927017
AndhraPradesh,Visakhapatanam,Madala,Bo,531149.0,18.353004,82.880087
AndhraPradesh,Visakhapatanam,Dumbriguda,Bo,531151.0,18.2866,82.7911583
AndhraPradesh,Visakhapatanam,Kinchumanda,Bo,531151.0,18.2433933,82.7959966
AndhraPradesh,Visakhapatanam,Kithalangi,Bo,531151.0,18.252715,82.8252033
AndhraPradesh,Visakhapatanam,Kollaput,Bo,531151.0,18.406399,82.858398
AndhraPradesh,Visakhapatanam,Korra,Bo,531151.0,18.2160066,82.8135433
AndhraPradesh,Visakhapatanam,Rangaseela,Bo,531151.0,18.2088183,82.77856
AndhraPradesh,Vizianagaram,Yangada,Bo,531151.0,18.349033,82.880473
AndhraPradesh,Anakapalli,Maduthuru,Bo,531011.0,17.5597855,83.0128834
AndhraPradesh,Anakapalli,Pudimadaka,Bo,531011.0,17.4926196,83.0023515
AndhraPradesh,Anakapalli,Tanthadi,Bo,531011.0,17.5302212,83.0593314
AndhraPradesh,Anakapalli,Chakipalle,Bo,531036.0,17.7691393,82.9307578
AndhraPradesh,Anakapalli,Damunapalle,Bo,531036.0,17.844837,82.899051
AndhraPradesh,Anakapalli,Pedagogada,Bo,531036.0,17.89122,82.905235
AndhraPradesh,Anakapalli,RSivarampuram,Bo,531036.0,17.702361,82.866754
AndhraPradesh,Anakapalli,Tamarabba,Bo,531030.0,17.654214,82.426547
AndhraPradesh,Anakapalli,Marepalli,Bo,531030.0,17.028728,82.758489
AndhraPradesh,Anakapalli,Madrebu,Bo,531030.0,18.04087,82.905485
AndhraPradesh,Anakapalli,Haripuram,Bo,531061.0,17.507321,82.896223
AndhraPradesh,Anakapalli,Bhogapuram,Bo,531023.0,17.777077,82.953815
AndhraPradesh,Anakapalli,Juttada,Bo,531023.0,17.822759,82.966604
AndhraPradesh,Anakapalli,Muddurthi,Bo,531023.0,17.771355,82.967548
AndhraPradesh,Anakapalli,Valluru,Bo,531019.0,17.653373,83.0375
AndhraPradesh,Anakapalli,Chowduvada,Bo,531034.0,17.8389947,83.0010731
AndhraPradesh,Anakapalli,Mulakapalli,Bo,531075.0,17.847172,82.963598
